.msh : 733 triangles ÔÇö Segment_1=134 Segment_2=51 Itf_Throat=22 Itf_H1_H2=18 Itf_Mouth=38 Baffle_Outer=200 Compression_Chamber=32 Baffle_Front=108 Baffle_Back=108 Itf_Diaphragm=22
diaphragme g├®n├®r├® : 305 triangles

mesh: 730 ├®l├®ments, 480 inconnues, sym=hv
domaines: Subdomain 1[interior]=435 closed=true Subdomain 2[interior]=76 closed=true Subdomain 3[interior]=174 closed=true Subdomain 4[interior]=107 closed=true Subdomain 5[exterior,baffle]=38 closed=false
volumes: Subdomain 1=0.493L Subdomain 2=0.048L Subdomain 3=3.506L Subdomain 4=5.684L total=9.731L
solve: 96.35 s pour 67 fr├®quences (1438 ms/f)

couplage : RATIO=one  Sd=220.0 cm┬▓  U=2.83 V

   f(Hz)   Sgeom     Za.re      Za.im       v(m/s)   SPL     Akabak     ╬ö   mismatch
   100.0   257.1       0.23     -22.25    1.61e-1   89.93    88.85    1.08     0.0%
   103.6   257.1       0.25     -23.24    1.55e-1   90.06    89.00    1.06     0.0%
   107.2   257.1       0.28     -24.28    1.49e-1   90.20    89.15    1.05     0.0%
   111.0   257.1       0.32     -25.39    1.43e-1   90.34    89.30    1.04     0.1%
   115.0   257.1       0.35     -26.58    1.38e-1   90.49    89.46    1.03     0.1%
   119.1   257.1       0.40     -27.85    1.32e-1   90.64    89.63    1.01     0.2%
   123.3   257.1       0.45     -29.21    1.27e-1   90.80    89.80    1.00     0.2%
   127.7   257.1       0.51     -30.67    1.21e-1   90.97    89.98    0.99     0.2%
   132.2   257.1       0.58     -32.25    1.16e-1   91.15    90.17    0.98     0.3%
   136.9   257.1       0.66     -33.96    1.11e-1   91.35    90.38    0.97     0.3%
   141.7   257.1       0.76     -35.82    1.06e-1   91.55    90.59    0.96     0.4%
   146.8   257.1       0.88     -37.84    1.01e-1   91.77    90.82    0.95     0.4%
   152.0   257.1       1.02     -40.07    9.56e-2   92.01    91.07    0.94     0.5%
   157.4   257.1       1.20     -42.53    9.07e-2   92.26    91.33    0.93     0.5%
   163.0   257.1       1.42     -45.26    8.59e-2   92.53    91.61    0.92     0.6%
   168.8   257.1       1.70     -48.31    8.11e-2   92.83    91.92    0.91     0.6%
   174.8   257.1       2.06     -51.76    7.63e-2   93.15    92.25    0.90     0.7%
   181.0   257.1       2.52     -55.69    7.16e-2   93.50    92.61    0.89     0.7%
   187.4   257.1       3.14     -60.20    6.69e-2   93.87    92.99    0.88     0.8%
   194.0   257.1       3.97     -65.47    6.22e-2   94.28    93.41    0.87     0.8%
   200.9   257.1       5.13     -71.69    5.74e-2   94.72    93.87    0.85     0.9%
   208.1   257.1       6.78     -79.17    5.26e-2   95.21    94.37    0.84     1.0%
   215.4   257.1       9.24     -88.33    4.78e-2   95.73    94.91    0.83     1.0%
   223.1   257.1      13.04     -99.81    4.28e-2   96.30    95.49    0.81     1.0%
   231.0   257.1      19.24    -114.54    3.78e-2   96.93    96.14    0.79     1.1%
   239.2   257.1      30.03    -133.83    3.26e-2   97.61    96.84    0.78     1.1%
   247.7   257.1      50.30    -159.15    2.74e-2   98.36    97.60    0.76     1.2%
   256.5   257.1      91.44    -189.43    2.22e-2   99.17    98.44    0.73     1.2%
   265.6   257.1     175.51    -205.95    1.77e-2  100.06    99.34    0.71     1.2%
   275.0   257.1     292.29    -134.83    1.52e-2  101.02   100.33    0.69     1.2%
   284.8   257.1     294.74      22.36    1.70e-2  102.05   101.37    0.67     1.2%
   294.9   257.1     202.40      91.40    2.32e-2  103.13   102.47    0.66     1.2%
   305.4   257.1     134.28      91.61    3.21e-2  104.23   103.57    0.66     1.2%
   316.2   257.1      96.51      75.93    4.25e-2  105.28   104.59    0.69     1.2%
   327.5   257.1      75.69      59.54    5.30e-2  106.18   105.44    0.74     1.2%
   339.1   257.1      64.01      45.13    6.16e-2  106.81   106.00    0.81     1.1%
   351.1   257.1      57.74      32.74    6.66e-2  107.10   106.22    0.88     1.1%
   363.6   257.1      55.12      21.93    6.73e-2  107.05   106.13    0.92     1.0%
   376.5   257.1      55.42      12.32    6.46e-2  106.78   105.85    0.93     0.9%
   389.9   257.1      58.49       3.76    5.98e-2  106.40   105.48    0.92     0.9%
   403.7   257.1      64.62      -3.58    5.41e-2  106.03   105.14    0.89     0.8%
   418.0   257.1      74.41      -8.91    4.83e-2  105.74   104.88    0.86     0.7%
   432.9   257.1      88.35     -10.28    4.30e-2  105.56   104.74    0.82     0.6%
   448.2   257.1     105.57      -4.15    3.87e-2  105.51   104.74    0.77     0.6%
   464.2   257.1     121.16      13.42    3.62e-2  105.61   104.89    0.72     0.5%
   480.6   257.1     125.53      40.94    3.62e-2  105.86   105.19    0.67     0.4%
   497.7   257.1     113.33      67.16    3.94e-2  106.26   105.63    0.62     0.4%
   515.4   257.1      91.61      81.55    4.60e-2  106.79   106.21    0.59     0.4%
   533.7   257.1      70.53      84.28    5.56e-2  107.43   106.86    0.58     0.3%
   552.6   257.1      54.38      80.55    6.75e-2  108.12   107.51    0.61     0.3%
   572.2   257.1      43.13      74.42    8.03e-2  108.75   108.05    0.71     0.3%
   592.6   257.1      35.59      67.89    9.16e-2  109.22   108.36    0.86     0.3%
   613.6   257.1      30.64      61.81    9.92e-2  109.41   108.38    1.03     0.4%
   635.4   257.1      27.50      56.48    1.02e-1  109.34   108.17    1.17     0.4%
   657.9   257.1      25.63      52.00    1.00e-1  109.08   107.83    1.25     0.5%
   681.3   257.1      24.65      48.46    9.68e-2  108.76   107.47    1.29     0.5%
   705.5   257.1      24.21      45.91    9.25e-2  108.48   107.18    1.30     0.6%
   730.5   257.1      23.90      44.40    8.87e-2  108.26   106.95    1.30     0.7%
   756.5   257.1      23.23      43.78    8.60e-2  108.07   106.75    1.32     0.8%
   783.3   257.1      21.81      43.62    8.43e-2  107.84   106.47    1.37     0.9%
   811.1   257.1      19.58      43.29    8.28e-2  107.44   105.99    1.45     1.0%
   839.9   257.1      16.93      42.31    8.06e-2  106.81   105.27    1.54     1.1%
