.msh : 733 triangles ÔÇö Segment_1=134 Segment_2=51 Itf_Throat=22 Itf_H1_H2=18 Itf_Mouth=38 Baffle_Outer=200 Compression_Chamber=32 Baffle_Front=108 Baffle_Back=108 Itf_Diaphragm=22
diaphragme g├®n├®r├® : 305 triangles

mesh: 730 ├®l├®ments, 480 inconnues, sym=hv
domaines: Subdomain 1[interior]=435 closed=true Subdomain 2[interior]=76 closed=true Subdomain 3[interior]=174 closed=true Subdomain 4[interior]=107 closed=true Subdomain 5[exterior,baffle]=38 closed=false
volumes: Subdomain 1=0.493L Subdomain 2=0.048L Subdomain 3=3.506L Subdomain 4=5.684L total=9.731L
solve: 28.39 s pour 17 fr├®quences (1670 ms/f)

couplage : RATIO=area  Sd=220.0 cm┬▓  U=2.83 V

   f(Hz)   Sgeom     Za.re      Za.im       v(m/s)   SPL     Akabak     ╬ö   mismatch
   100.0   257.1       0.17     -16.29    1.96e-1   90.29    88.85    1.44     0.0%
   115.5   257.1       0.26     -19.57    1.94e-1   92.19    89.48    2.71     0.1%
   133.4   257.1       0.44     -23.91    1.89e-1   94.19    90.22    3.97     0.3%
   154.0   257.1       0.79     -29.99    1.77e-1   96.29    91.16    5.12     0.5%
   177.8   257.1       1.66     -39.28    1.55e-1   98.40    92.43    5.97     0.7%
   205.4   257.1       4.46     -55.77    1.17e-1  100.32    94.17    6.14     0.9%
   237.1   257.1      19.55     -94.06    6.53e-2  101.77    96.66    5.12     1.1%
   273.8   257.1     205.13    -110.87    2.23e-2  102.77   100.20    2.57     1.2%
   316.2   257.1      70.65      55.58    4.18e-2  103.78   104.59   -0.81     1.2%
   365.2   257.1      40.27      15.13    6.46e-2  105.34   106.11   -0.77     1.0%
   421.7   257.1      56.73      -7.12    6.07e-2  106.57   104.83    1.74     0.7%
   487.0   257.1      89.87      37.84    3.70e-2  104.66   105.34   -0.68     0.4%
   562.3   257.1      35.29      56.82    4.04e-2  101.86   107.80   -5.94     0.3%
   649.4   257.1      19.18      39.22    4.48e-2  100.74   107.96   -7.22     0.4%
   749.9   257.1      17.17      32.11    4.33e-2  100.76   106.81   -6.05     0.7%
   866.0   257.1      10.74      29.91    4.02e-2   99.01   104.48   -5.48     1.1%
  1000.0   257.1       6.70      22.82    3.79e-2   97.49   101.31   -3.82     1.3%

offset moyen = 0.24 dB ┬À RMS = 4.41 dB ┬À RMS de FORME (offset retir├®) = 4.41 dB ┬À max|╬ö| = 7.22 dB
