mesh: 730 ├®l├®ments, 480 inconnues, sym=hv
domaines: Subdomain 1[interior]=435 closed=true Subdomain 2[interior]=76 closed=true Subdomain 3[interior]=174 closed=true Subdomain 4[interior]=107 closed=true Subdomain 5[exterior,baffle]=38 closed=false
volumes: Subdomain 1=0.493L Subdomain 2=0.048L Subdomain 3=3.506L Subdomain 4=5.684L total=9.731L
solve: 101.27 s pour 67 fr├®quences (1511 ms/f)

couplage : RATIO=area  Sd=220.0 cm┬▓  U=2.83 V

   f(Hz)   Sgeom     Za.re      Za.im       v(m/s)   SPL     Akabak     ╬ö   mismatch
   100.0   324.5       0.17     -16.32    1.96e-1   90.28    88.85    1.43     0.1%
   103.6   324.5       0.19     -17.05    1.95e-1   90.73    89.00    1.74     0.0%
   107.2   324.5       0.21     -17.81    1.95e-1   91.19    89.15    2.04     0.0%
   111.0   324.5       0.23     -18.63    1.95e-1   91.66    89.30    2.35     0.0%
   115.0   324.5       0.26     -19.50    1.94e-1   92.12    89.46    2.66     0.1%
   119.1   324.5       0.29     -20.43    1.93e-1   92.60    89.63    2.97     0.1%
   123.3   324.5       0.33     -21.43    1.92e-1   93.08    89.80    3.28     0.1%
   127.7   324.5       0.37     -22.50    1.91e-1   93.57    89.98    3.58     0.2%
   132.2   324.5       0.42     -23.66    1.89e-1   94.06    90.17    3.89     0.2%
   136.9   324.5       0.48     -24.91    1.87e-1   94.56    90.38    4.18     0.3%
   141.7   324.5       0.55     -26.27    1.85e-1   95.06    90.59    4.47     0.3%
   146.8   324.5       0.64     -27.76    1.82e-1   95.57    90.82    4.75     0.4%
   152.0   324.5       0.75     -29.39    1.79e-1   96.08    91.07    5.02     0.4%
   157.4   324.5       0.88     -31.19    1.75e-1   96.60    91.33    5.27     0.5%
   163.0   324.5       1.04     -33.19    1.70e-1   97.11    91.61    5.50     0.5%
   168.8   324.5       1.24     -35.43    1.65e-1   97.63    91.92    5.71     0.6%
   174.8   324.5       1.51     -37.96    1.58e-1   98.14    92.25    5.89     0.7%
   181.0   324.5       1.85     -40.84    1.51e-1   98.64    92.61    6.03     0.7%
   187.4   324.5       2.30     -44.15    1.43e-1   99.12    92.99    6.13     0.8%
   194.0   324.5       2.91     -48.01    1.34e-1   99.59    93.41    6.18     0.8%
